n5882	n3571
n4485	n1986
n4485	n778
n446	n4038
n446	n2986
n446	n4953
n446	n2758
n446	n1986
n6293	n6333
n446	n778
n6293	n3194
n1260	n1969
n1930	n5676
n3418	n5426
n6399	n5351
n3982	n864
n3982	n446
n3982	n4026
n3982	n2986
n3982	n4953
n3982	n2758
n3982	n4365
n3982	n1986
n3982	n778
n328	n318
n3492	n5923
n3492	n3858
n4678	n6048
n3492	n927
n3492	n5819
n3492	n1144
n5130	n2109
n3412	n3755
n3566	n3566
n3480	n5464
n3038	n4333
n899	n4116
n506	n2021
n6313	n2016
n3502	n1250
n6049	n3312
n6049	n5343
n2662	n1317
n2662	n3192
n617	n4516
n617	n4961
n864	n6042
n864	n4485
n864	n446
n864	n4026
n864	n2986
n864	n4953
n864	n2245
n864	n2758
n864	n1986
n864	n778
n1124	n6048
n4685	n6165
n4685	n6030
n4026	n2245
n4026	n778
n4942	n1250
n833	n2563
n2681	n802
n5057	n2093
n862	n4017
n862	n24
n1618	n1975
n5610	n4497
n4581	n2569
n5340	n84
n337	n3191
n1975	n5676
n4302	n5712
n84	n5553
n172	n6048
n4938	n1780
n5700	n1754
n5700	n3556
n494	n6101
n2900	n1962
n4021	n3561
n1286	n5676
n2447	n3732
n1777	n4558
n5160	n6048
n537	n1194
n537	n6214
n537	n6048
n69	n2278
n2904	n5676
n2312	n3312
n3271	n13
n84	n231
n5368	n3271
n5368	n5343
n5368	n5135
n3271	n1314
n3271	n5343
n4573	n4333
n3271	n4010
n4102	n1585
n5246	n5246
n4507	n4507
n413	n1744
n5857	n4264
n5857	n2248
n5857	n4793
n175	n429
n2238	n3614
n4837	n4750
n6244	n5343
n4017	n2048
n2317	n5943
n6270	n1250
n113	n136
n113	n6365
n2109	n2368
n2109	n442
n2109	n429
n3864	n1601
n2097	n5594
n5299	n1681
n1979	n943
n540	n3639
n540	n820
n2425	n3314
n5464	n653
n5464	n2258
n5464	n241
n6216	n4729
n227	n6387
n3880	n1250
n3880	n6048
n3880	n1754
n5113	n1734
n1219	n5849
n4473	n1912
n1924	n5553
n327	n70
n90	n4193
n984	n6021
n4462	n982
n2387	n2368
n2387	n429
n3166	n1681
n943	n6048
n2699	n2380
n2699	n2112
n3680	n340
n1227	n2556
n4005	n4760
n5496	n6048
n5120	n5676
n1919	n3660
n2195	n4970
n2195	n33
n4150	n3554
n3471	n70
n5510	n2018
n2851	n3227
n1215	n4333
n2940	n778
n3522	n4213
n3522	n5676
n3335	n3335
n6021	n5028
n342	n4409
n225	n5178
n1101	n2093
n1027	n6143
n1027	n2912
n1027	n5676
n5244	n6128
n6260	n6260
n1314	n5343
n6268	n6045
n6268	n4407
n5143	n2323
n6107	n869
n5410	n3158
n6321	n6048
n6321	n2912
n1124	n5343
n1124	n1967
n4108	n1250
n3008	n6048
n4839	n2016
n4839	n429
n4108	n3836
n3184	n5704
n4889	n4889
n3158	n5468
n4245	n2761
n4240	n70
n4139	n1999
n4851	n4851
n1295	n6128
n152	n4662
n1301	n6086
n4831	n5806
n3631	n1600
n1598	n1257
n2509	n3932
n6068	n5636
n2011	n2011
n2200	n4699
n1147	n793
n1147	n581
n1042	n5676
n3338	n3720
n4040	n705
n4040	n6048
n2843	n2843
n4313	n5704
n3639	n820
n5557	n4285
n2758	n174
n37	n4732
n1912	n4206
n1912	n5343
n1912	n2611
n4040	n5704
n4040	n4206
n3614	n6128
n3836	n1808
n157	n5293
n6399	n5343
n713	n1539
n1317	n3192
n2368	n4333
n2368	n4961
n2368	n6393
n2368	n395
n2368	n429
n4604	n4333
n4516	n70
n3572	n4410
n4745	n2187
n3768	n5886
n5255	n346
n20	n4333
n3487	n6048
n6086	n1846
n6086	n4333
n4608	n422
n4608	n826
n4043	n4464
n4043	n1595
n4671	n5236
n982	n3172
n3707	n6080
n3417	n6387
n600	n2530
n5128	n3227
n2438	n1050
n1983	n70
n4953	n1819
n4953	n2758
n4953	n778
n3156	n5293
n4415	n6048
n4805	n6048
n4805	n2093
n2841	n4260
n162	n3897
n1399	n6048
n1399	n5443
n3075	n4333
n5151	n429
n163	n4945
n5293	n3312
n5293	n1595
n5293	n70
n4947	n769
n4718	n818
n216	n6048
n200	n2778
n3565	n2241
n3565	n4333
n3565	n6048
n1681	n2056
n1681	n6048
n1681	n429
n4659	n2121
n2986	n4365
n2986	n1986
n2986	n778
n3312	n136
n3312	n2821
n3312	n292
n3312	n4653
n373	n1250
n4227	n3618
n4285	n818
n4206	n3312
n4206	n4906
n2279	n6333
n4747	n6048
n6030	n6080
n6048	n4963
n1109	n1109
n2380	n5589
n299	n6246
n5296	n5341
n4914	n579
n3689	n4333
